region_name,lga_name
Western Victoria,Ballarat
Western Victoria,Colac-Otway
Western Victoria,Corangamite
Western Victoria,Glenelg
Western Victoria,Golden Plains
Western Victoria,Hepburn
Western Victoria,Horsham
Western Victoria,Moorabool
Western Victoria,Moyne
Western Victoria,Pyrenees
Western Victoria,Southern Grampians
Western Victoria,Surfcoast
Western Victoria,Warrnambool
Western Victoria,West Wimmera
Murray,Alpine
Murray,Benalla
Murray,Campaspe
Murray,Gannawarra
Murray,Greater Bendigo
Murray,Greater Shepparton
Murray,Indigo
Murray,Loddon
Murray,Mansfield
Murray,Moira
Murray,Swan Hill
Murray,Towong
Murray,Wangaratta
Murray,Wodonga
Gippsland,Bass Coast
Gippsland,Baw Baw
Gippsland,East Gippsland
Gippsland,Latrobe
Gippsland,South Gippsland
Gippsland,Wellington
